	Level	Wave	Timing	Spawn	Commis	Plongeur	Gourmand	Gordon	Loot Type	Amount
|	1	1	10	1	3	0	3	0	0	0
|	1	1	10	2	3	0	0	0	0	0
|	1	1	15	3	3	0	0	0	0	0
|	1	1	15	4	3	0	0	0	0	0
|	1	1	20	5	3	0	0	0	0	0
|	1	1	20	6	3	0	0	0	0	0
|	1	1	25	7	3	0	0	0	0	0
|	1	1	25	8	3	0	0	0	0	0
|	0	0	30	4	0	0	0	0	PISTOL	100
|	1	2	35	1	3	0	0	0	0	0
|	1	2	35	5	3	0	0	0	0	0
|	1	2	40	3	3	0	0	0	0	0
|	1	2	40	7	3	0	0	0	0	0
|	1	2	45	2	3	0	0	0	0	0
|	1	2	45	6	3	0	0	0	0	0
|	1	2	50	4	3	0	0	0	0	0
|	1	2	50	8	3	0	0	0	0	0
|	1	2	55	5	3	0	0	0	0	0
|	0	0	60	1	0	0	0	0	PISTOL	100
|	1	3	65	1	0	1	0	0	0	0
|	1	3	65	3	0	1	0	0	0	0
|	1	3	65	5	0	1	0	0	0	0
|	1	3	65	7	0	1	0	0	0	0
|	1	3	70	1	0	2	0	0	0	0
|	1	3	70	2	3	0	0	0	0	0
|	1	3	75	3	0	2	0	0	0	0
|	1	3	75	4	3	0	0	0	0	0
|	1	3	80	5	0	2	0	0	0	0
|	1	3	80	6	3	0	0	0	0	0
|	1	3	85	7	0	2	0	0	0	0
|	1	3	85	8	3	0	0	0	0	0
|	0	0	90	0	0	0	0	0	SNIPER	0
|	0	0	90	2	0	0	0	0	PISTOL	100
|	2	4	95	1	0	0	1	0	0	0
|	2	4	100	2	4	2	0	0	0	0
|	2	4	103	1	4	2	0	0	0	0
|	0	0	100	2	0	0	0	0	PISTOL	100
|	2	4	105	5	4	2	0	0	0	0
|	2	4	108	6	4	2	0	0	0	0
|	2	4	110	3	4	2	0	0	0	0
|	2	4	113	4	4	2	0	0	0	0
|	0	0	110	2	0	0	0	0	PISTOL	100
|	2	4	115	7	4	2	0	0	0	0
|	2	4	118	8	4	2	0	0	0	0
|	2	4	120	1	0	0	1	0	0	0
|	2	4	120	3	0	0	1	0	0	0
|	2	4	120	5	0	0	1	0	0	0
|	2	4	120	7	0	0	1	0	0	0
|	0	0	120	2	0	0	0	0	PISTOL	100
|	0	0	120	1	0	0	0	0	PISTOL	100
|	2	5	125	7	0	0	0	1	0	0
|	0	0	130	1	0	0	0	0	LIFE	1
|	2	5	130	6	0	0	0	1	0	0
|	2	5	135	1	5	0	0	1	0	0
|	2	5	135	2	5	0	0	0	0	0
|	2	5	140	3	5	0	0	0	0	0
|	2	5	140	4	5	0	0	0	0	0
|	2	5	145	5	5	0	0	0	0	0
|	2	5	145	6	5	0	0	0	0	0
|	2	5	150	7	5	0	0	0	0	0
|	2	5	150	8	5	0	0	0	0	0
|	0	0	160	0	0	0	0	0	LIFE	1
|	0	0	160	0	0	0	0	0	ROCKET	100
|	2	6	165	4	0	3	0	0	0	0
|	2	6	165	4	0	3	0	0	0	0
|	2	6	170	4	0	3	0	0	0	0
|	2	6	170	4	0	3	0	0	0	0
|	0	0	160	0	0	0	0	0	PISTOL	100
|	2	6	175	4	0	3	0	0	0	0
|	2	6	175	4	0	3	0	0	0	0
|	2	6	180	4	0	3	0	0	0	0
|	2	6	180	4	0	3	0	0	0	0
