	Level	Wave	Timing	Spawn	Commis	Plongeur	Gourmand	Gordon	Loot Type	Amount
|	1	1	10	1	3	0	0	0	0	0
|	1	1	10	2	3	0	0	0	0	0
|	1	1	20	3	3	0	0	0	0	0
|	1	1	20	4	3	0	0	0	0	0
|	1	1	30	5	3	0	0	0	0	0
|	1	1	30	6	3	0	0	0	0	0
|	1	1	40	7	3	0	0	0	0	0
|	1	1	40	8	3	0	0	0	0	0
|	0	0	50	4	0	0	0	0	PISTOL	100
|	1	2	60	1	5	0	0	0	0	0
|	1	2	70	2	5	0	0	0	0	0
|	1	2	80	3	5	0	0	0	0	0
|	1	2	90	4	5	0	0	0	0	0
|	1	2	100	5	5	0	0	0	0	0
|	0	0	110	1	0	0	0	0	PISTOL	100
|	1	3	120	1	0	1	0	0	0	0
|	1	3	120	3	0	1	0	0	0	0
|	1	3	120	5	0	1	0	0	0	0
|	1	3	120	7	0	1	0	0	0	0
|	1	3	140	1	0	2	0	0	0	0
|	1	3	140	2	3	0	0	0	0	0
|	1	3	150	3	0	2	0	0	0	0
|	1	3	150	4	3	0	0	0	0	0
|	1	3	160	5	0	2	0	0	0	0
|	1	3	160	6	3	0	0	0	0	0
|	1	3	170	7	0	2	0	0	0	0
|	1	3	170	8	3	0	0	0	0	0
|	0	0	180	0	0	0	0	0	SNIPER	0
|	0	0	180	2	0	0	0	0	PISTOL	100
|	2	4	190	1	0	0	1	0	0	0
|	2	4	200	2	4	2	0	0	0	0
|	2	4	200	1	4	2	0	0	0	0
|	2	4	210	5	4	2	1	0	0	0
|	2	4	210	6	4	2	0	0	0	0
|	2	4	220	3	4	2	1	0	0	0
|	2	4	220	4	4	2	0	0	0	0
|	2	4	230	7	4	2	0	0	0	0
|	2	4	230	8	4	2	0	0	0	0
|	2	4	235	1	0	0	1	0	0	0
|	2	4	235	3	0	0	1	0	0	0
|	2	4	235	5	0	0	1	0	0	0
|	2	4	235	7	0	0	1	0	0	0
|	0	0	240	2	0	0	0	0	PISTOL	100
|	0	0	240	1	0	0	0	0	PISTOL	100
|	2	5	245	7	0	0	0	1	0	0
|	0	0	250	1	0	0	0	0	LIFE	1
|	2	5	260	6	0	0	0	1	0	0
|	2	5	265	1	5	0	0	1	0	0
|	2	5	265	2	5	0	0	0	0	0
|	2	5	275	3	5	0	0	0	0	0
|	2	5	275	4	5	0	0	0	0	0
|	2	5	285	5	5	0	0	0	0	0
|	2	5	285	6	5	0	0	0	0	0
|	2	5	295	7	5	0	0	0	0	0
|	2	5	295	8	5	0	0	0	0	0
|	0	0	300	0	0	0	0	0	LIFE	1
|	0	0	300	0	0	0	0	0	ROCKET	1
|	2	6	310	4	0	3	0	0	0	0
|	2	6	310	4	0	3	0	0	0	0
|	2	6	320	4	0	3	0	0	0	0
|	2	6	320	4	0	3	0	0	0	0
|	2	6	330	4	0	3	0	0	0	0
|	2	6	330	4	0	3	0	0	0	0
|	2	6	340	4	0	3	0	0	0	0
|	2	6	340	4	0	3	0	0	0	0
